graph,order,host,freq,input_time,task_time,output_time,total_time,input_power,task_power,input_e,task_e,output_e,total_e,power_efficiency,pipelinetime,avg_power,latency
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"((4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,))",301.89,4545.52,0.424054,4847.41,3220.468781109,4937.92402889536,972.227320328997,22445.4324318244,1.3656526685044,23419.025404822,0.042700325172118,4847.41,4.83124501637411,4.84741
YOLOv3,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,BB,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",255.91,4104.38,0.382521,4360.29,3389.21878563721,5686.91215975611,867.33497943242,23341.2485302598,1.29644735910073,24209.8799570513,0.041305450575303,4360.29,5.55235545274541,4.36029
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"((0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,))",439.887,15916.313,2.23128,16356.2,3327.64137099008,3570.73651230906,1463.78617976071,56832.9599704393,7.42489963826274,58304.1710498383,0.017151431569882,16356.2,3.56465261184372,16.3562
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"((1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,), (1,))",298.347,11057.853,0.992979,11356.2,3267.75196968763,3829.18017192918,974.923996900396,42342.5114517077,3.24480908310846,43320.6802576911,0.023083663369355,11356.2,3.81471621296658,11.3562
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"((2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,), (2,))",218.944,8397.806,0.568546,8616.75,3435.61315073815,4155.2790398745,752.206885675214,34895.2272527323,1.95330411439957,35649.3874425219,0.028050972870496,8616.75,4.13721965271383,8.61675
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"((3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,), (3,))",177.357,7023.013,0.449137,7200.37,3602.11667403478,4443.17850227377,638.860606956786,31204.5003827892,1.61784387662596,31844.9788336226,0.031402124812976,7200.37,4.42268644994946,7.20037
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"((4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,), (4,))",148.923,6118.857,0.588088,6267.78,3851.54927174632,4884.02375583741,573.584272196277,29884.642946572,2.26504990812275,30460.4922686764,0.03282941034503,6267.78,4.85985345188829,6.26778
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"((5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,), (5,))",126.172,5421.818,0.385,5547.99,4215.95593885682,5463.61042492963,531.935592717443,29622.7013468711,1.62314303645988,30156.260082625,0.033160610674537,5547.99,5.43552891815324,5.54799
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"((6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",111.251,4964.469,0.295983,5075.72,4601.59019468642,6138.59874967435,511.931510749058,30474.883196197,1.36199247059387,30988.1766994167,0.032270372332646,5075.72,6.10517851643052,5.07572
YOLOv3,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,BB,"((7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,))",99.398,4596.712,0.30135,4696.11,5182.22646829812,7212.20792531714,515.102946495897,33152.4427168004,1.56166394622164,33669.1073272425,0.029700817140194,4696.11,7.1695738232798,4.69611
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"((0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7), (0, 7))",87.0785,19786.3215,3.18159,19873.4,5097.10845244961,3907.5004603053,443.848558376633,77315.0603689986,16.2169092812291,77775.1258366564,0.012857581254194,19873.4,3.91352892995946,19.8734
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"((1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7), (1, 7))",86.8709,13228.5291,3.12836,13315.4,5045.97218600608,4159.58377290037,438.348145173316,55025.1749837003,15.785617547814,55479.3087464214,0.018024737917531,13315.4,4.16655216864844,13.3154
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"((2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7), (2, 7))",87.0247,10070.0753,3.22557,10157.1,5094.38434287625,4434.84771787264,443.337269123503,44659.2504630107,16.4322933048514,45119.020025439,0.02216360194517,10157.1,4.44211635461293,10.1571
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"((3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7), (3, 7))",87.0789,7104.4111,3.06892,7191.49,5169.92938996775,5137.5130715047,450.191764356063,36499.0048915931,15.8660997034598,36965.0627556526,0.027052571413451,7191.49,5.14011182045064,7.19149
YOLOv3,GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,BB,"((4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7))",87.0968,5731.4232,3.09916,5818.52,5378.53798198684,6229.87332722965,468.453446909512,35706.0405207452,16.6689497722543,36191.162917427,0.027631054638437,5818.52,6.21999458924727,5.81852
YOLOv3,BNBBGLGBNGBLNLNNLBLBLNBLGGGBNLLNGNGLNGBNBBNLNNNGLBLBNLGNLBLBLBBGBBLGBBBGGBL,,"((2,), (5,), (6,), (1,), (4, 5), (0,), (2, 6), (5,), (3,), (0, 7), (6,), (2,), (6,), (1,), (4,), (1,), (4,), (4,), (5,), (2,), (5,), (3,), (6,), (5,), (3, 5), (0, 4), (1, 2), (6,), (2,), (3,), (5,), (2,), (0, 3), (0,), (2, 1), (1,), (0,), (1, 6), (1,), (1,), (2,), (7,), (3,), (0,), (2,), (3,), (1,), (1, 2), (3,), (1,), (5,), (6,), (7,), (4,), (0, 1), (7,), (2,), (0,), (1,), (6,), (2,), (4,), (7,), (4, 6), (5,), (0,), (4,), (3, 4), (4,), (5,), (3,), (4, 1), (0, 0), (2,), (4,))",,,,,,,,,,,,,,
YOLOv3,BNBBGLGBNGBLNLNNLBLBLNBLGGGBNLLNGNGLNGBNBBNLNNNGLBLBNLGNLBLBLBBGBBLGBBBGGBL,,"((5,), (4,), (5,), (7,), (2, 7), (0,), (4, 0), (0,), (2,), (1, 0), (7,), (1,), (0,), (3,), (0,), (6,), (5,), (3,), (4,), (0,), (3,), (7,), (0,), (4,), (1, 3), (3, 3), (2, 7), (5,), (2,), (1,), (3,), (7,), (1, 6), (3,), (2, 2), (2,), (7,), (1, 7), (7,), (2,), (4,), (4,), (7,), (0,), (5,), (4,), (3,), (1, 5), (1,), (7,), (3,), (5,), (3,), (3,), (0, 6), (4,), (5,), (4,), (2,), (6,), (3,), (1,), (0,), (1, 6), (5,), (1,), (1,), (4, 4), (2,), (1,), (4,), (1, 4), (0, 5), (5,), (1,))",,,,,,,,,,,,,,
YOLOv3,BNBBGLGBNGBLNLNNLBLBLNBLGGGBNLLNGNGLNGBNBBNLNNNGLBLBNLGNLBLBLBBGBBLGBBBGGBL,,"((0,), (4,), (0,), (0,), (3, 6), (1,), (0, 4), (5,), (1,), (1, 1), (2,), (2,), (2,), (4,), (4,), (6,), (4,), (3,), (1,), (3,), (2,), (2,), (2,), (1,), (0, 3), (2, 0), (2, 2), (0,), (1,), (2,), (4,), (0,), (2, 4), (7,), (2, 7), (4,), (5,), (4, 7), (1,), (0,), (2,), (0,), (7,), (1,), (6,), (6,), (0,), (3, 0), (0,), (6,), (0,), (1,), (5,), (0,), (3, 6), (3,), (1,), (2,), (2,), (4,), (4,), (7,), (7,), (2, 0), (1,), (7,), (4,), (4, 5), (7,), (1,), (0,), (4, 0), (2, 4), (2,), (5,))",,,,,,,,,,,,,,
YOLOv3,BNBBGLGBNGBLNLNNLBLBLNBLGGGBNLLNGNGLNGBNBBNLNNNGLBLBNLGNLBLBLBBGBBLGBBBGGBL,,"((2,), (7,), (1,), (7,), (4, 7), (5,), (3, 7), (1,), (7,), (1, 0), (0,), (1,), (1,), (4,), (0,), (7,), (0,), (4,), (1,), (7,), (2,), (6,), (0,), (1,), (3, 4), (1, 4), (2, 5), (0,), (1,), (1,), (3,), (3,), (4, 4), (4,), (0, 2), (2,), (1,), (4, 1), (5,), (0,), (1,), (6,), (5,), (2,), (4,), (4,), (2,), (4, 5), (4,), (1,), (0,), (2,), (2,), (4,), (1, 0), (7,), (3,), (3,), (0,), (4,), (4,), (6,), (5,), (0, 7), (0,), (5,), (5,), (1, 0), (7,), (0,), (6,), (2, 1), (4, 5), (3,), (1,))",,,,,,,,,,,,,,
YOLOv3,BNBBGLGBNGBLNLNNLBLBLNBLGGGBNLLNGNGLNGBNBBNLNNNGLBLBNLGNLBLBLBBGBBLGBBBGGBL,,"((3,), (4,), (4,), (4,), (4, 7), (4,), (3, 3), (1,), (7,), (2, 2), (6,), (1,), (2,), (0,), (5,), (6,), (0,), (4,), (2,), (5,), (2,), (2,), (5,), (0,), (0, 4), (4, 1), (0, 2), (5,), (7,), (5,), (0,), (5,), (3, 5), (2,), (4, 2), (4,), (6,), (0, 1), (1,), (7,), (2,), (2,), (4,), (1,), (4,), (4,), (2,), (2, 6), (3,), (2,), (0,), (7,), (1,), (3,), (1, 1), (7,), (5,), (3,), (4,), (3,), (0,), (2,), (1,), (1, 1), (2,), (4,), (3,), (2, 7), (7,), (2,), (3,), (3, 4), (3, 2), (1,), (4,))",,,,,,,,,,,,,,
